position,bucket,n,mean_residual_pct,median_residual_pct,mean_residual_points,mean_actual_fp,mean_expected_fp,weather_mean,weather_variable
TE,33-45,687,0.060853240786128956,-0.11269082070669888,-0.19541244733795615,12.30439592430859,12.499808371646544,39.83526200873362,temperature_f_avg
TE,46-55,664,0.04626694485258816,-0.08126942152915165,-0.07278788739346215,12.47039156626506,12.543179453658523,51.28418674698795,temperature_f_avg
TE,56-85,1907,0.09940749317740406,-0.05550734896922336,0.2892068285512223,12.581814368117461,12.292607539566239,69.90690875721027,temperature_f_avg
TE,86+,104,0.08536726275156038,-0.07980912676342547,-0.401061756822334,11.063461538461537,11.464523295283872,88.83629807692309,temperature_f_avg
WR,<20,56,-0.048576703463695914,-0.12858881475082268,-2.676107613274685,28.830357142857142,31.50646475613183,13.921428571428573,temperature_f_avg
WR,20-32,198,-0.051012398079972654,-0.07559474796985192,-1.9209700476404197,30.610404040404042,32.53137408804446,28.386616161616164,temperature_f_avg
WR,33-45,690,-0.027344899059023306,-0.06955393871189477,-1.7553987926486976,30.75408695652174,32.50948574917044,39.83050724637681,temperature_f_avg
WR,46-55,665,0.006822547208398524,-0.03726665972846138,-0.4696217098746715,32.34995488721805,32.81957659709272,51.290488721804515,temperature_f_avg
WR,56-85,1914,0.0444901430669292,-0.014163904481395817,0.5511943378489345,33.6403657262278,33.08917138837886,69.89962121212122,temperature_f_avg
WR,86+,105,0.08604295576261638,-0.014159437628985633,1.7225782637147014,35.578476190476195,33.855897926761486,88.8195238095238,temperature_f_avg
DST,none/trace,2807,0.07219086601446789,-0.13607135858469752,-0.11213326243301533,5.149625935162095,5.261759197595111,0.0010242251514071964,rain_mm_h_avg
DST,light,497,0.08194972781697624,-0.10375495044076966,0.07500156268516746,5.4044265593561365,5.329424996670969,0.18043259557344063,rain_mm_h_avg
DST,moderate,222,0.24318186329183797,0.05691807544729666,0.8591206006017432,6.22972972972973,5.370609129127987,1.0734234234234235,rain_mm_h_avg
DST,heavy,30,0.522345887299211,0.1501386163336167,1.9068774306464362,6.966666666666667,5.05978923602023,3.8699999999999997,rain_mm_h_avg
K,none/trace,2857,0.06048529853181444,-0.03810845685858167,0.04045653649379718,7.91739586979349,7.876939333299693,0.001015050752537627,rain_mm_h_avg
K,light,502,0.039803027400135346,-0.061090592621371745,-0.10181406266604504,7.663346613545817,7.765160676211862,0.18002988047808766,rain_mm_h_avg
K,moderate,227,-0.00832675152807238,-0.06264071407295166,-0.3530670282338378,7.392070484581498,7.745137512815336,1.0705947136563876,rain_mm_h_avg
K,heavy,30,0.015090535746368957,-0.11405503994264152,-0.8249221698807244,6.7,7.524922169880725,3.8699999999999997,rain_mm_h_avg
QB,none/trace,2862,0.04606066152305091,-0.0019404901736828502,0.18566189505773426,16.54877009084556,16.363108195787827,0.001013277428371768,rain_mm_h_avg
QB,light,504,0.02073471507770382,-0.07513579868167165,-0.2203632295400464,16.173015873015874,16.39337910255592,0.18060515873015875,rain_mm_h_avg
QB,moderate,227,-0.08150024935348293,-0.1337608340969027,-1.8623383262042872,14.417356828193833,16.27969515439812,1.0705947136563876,rain_mm_h_avg
QB,heavy,30,-0.16448272507497677,-0.2897054573386795,-3.660890111554228,12.847333333333333,16.50822344488756,3.8699999999999997,rain_mm_h_avg
RB,none/trace,2866,0.027291904978542288,-0.04666843426152673,-0.013679577597030519,22.60566643405443,22.619346011651462,0.0010118632240055827,rain_mm_h_avg
RB,light,505,0.03741067527164663,-0.05201481960353119,0.10932743158716779,22.35029702970297,22.240969598115804,0.18034653465346534,rain_mm_h_avg
RB,moderate,227,0.011896081629127635,-0.06671252364627285,-0.553789677917951,21.729251101321587,22.28304077923954,1.0705947136563876,rain_mm_h_avg
RB,heavy,30,-0.005700697046062489,-0.1095278126679107,-0.43236133861340137,22.35666666666667,22.789028005280066,3.8699999999999997,rain_mm_h_avg
TE,none/trace,2855,0.09602725103688307,-0.06187794419421523,0.25063996523375726,12.647110332749563,12.396470367515805,0.0010157618213660247,rain_mm_h_avg
